Penn World Tables 6.1

"COL0","YEAR"
"COL1","Belgium/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Belgium/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Belgium/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Belgium/CURRENT SAVINGS (unit %)"
"COL5","Belgium/EXCHANGE RATE (unit US=1)"
"COL6","Belgium/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Belgium/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Belgium/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Belgium/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Belgium/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Belgium/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Belgium/POPULATION (unit 000S)"
"COL13","Belgium/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Belgium/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Belgium/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Belgium/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Belgium/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17"
1974,77.9574647520,51.4188862230,53.9280279820,30.2654846870,38.9515000000,18.3156290890,18.8921800300,29.7943130450,27.1680473460,95.8815197550,121.0852912100,9755.1000000000,103.9616021500,106.5960198200,101.9571553800,95.6462147240,101.0244275500
1975,77.4537007770,53.1352737180,55.4408936480,27.1831338260,36.7789000000,19.6815924560,20.1247898890,26.9344969150,24.0339103700,89.2478290480,105.2729494200,9782.1000000000,112.3713696500,120.7206410200,111.1282944900,101.6666811700,101.0120469400
1976,77.4026752570,52.9911865260,55.0803418980,27.6563142750,38.6052000000,19.3524991990,19.7273792040,27.4314260940,24.5627864620,95.0322428180,111.3599863200,9798.1000000000,109.9306618900,119.8292283100,108.7764612800,98.7492346880,101.0417023000
1977,74.5636005770,53.9918084600,56.2362918710,25.9396928530,35.8428000000,20.0684986870,20.0712868290,26.8131326880,24.2882132720,97.7975695740,110.0518584800,9809.1000000000,120.1218227600,129.1104517200,119.0974641000,109.5404828800,100.7671115400
1978,72.8631924640,53.8601134150,56.1402125610,25.4980831730,31.4921000000,20.6418034120,20.7298479680,26.5128971630,23.9068704170,97.6131402120,106.1815830300,9817.0000000000,133.8500707000,145.3162512200,133.0178313900,121.7521418700,100.6505086600
1979,72.5745436350,55.6848011740,57.7332082440,23.6607355610,29.3187000000,20.6544632650,20.7806059730,25.7660847990,23.2423830080,103.1065043400,116.8342132500,9824.0000000000,137.7810498400,152.6113422200,138.5968711500,129.1257958100,100.1866288100
1980,75.6786069110,55.6123606280,56.4565370480,23.6390628910,29.2417000000,20.7485764810,20.2345737560,26.6827481980,23.8773525080,96.7857736000,117.6760620300,9834.0000000000,134.4530075100,148.9082238800,134.4687349200,123.2733287800,99.7625631920
1981,72.4173656670,56.5375333890,56.1568627110,21.3953821490,37.1293000000,22.0670844620,20.9785978830,23.6021067140,20.8000700340,98.1242186110,125.8689982200,9841.0000000000,105.2782157200,114.7312468200,104.5518312400,93.2944459020,99.6331871630
1982,75.1706552570,57.3921169200,56.8248322730,20.8220259520,45.6906000000,21.7858571280,20.7867278150,22.5791763790,19.6008057810,99.8906274530,134.6571193200,9849.0000000000,86.2956329070,94.1445011540,85.9166156630,77.0144247060,99.1405620890
1983,72.8172700080,56.8300396880,56.2165302440,21.2910436200,51.1317000000,21.8789166920,20.8938515210,20.6439577260,18.1708085230,100.5384975600,137.4929042500,9854.0000000000,79.0827443560,83.9567604070,78.0721448700,69.0534564750,99.1360255300
